Station Id,Station Name,County Name,Elevation (ft),Year,Jan,Jan,Jan,Jan,Feb,Feb,Feb,Feb,Mar,Mar,Mar,Mar,Apr,Apr,Apr,Apr,May,May,May,May,Jun,Jun,Jun,Jun,Jul,Jul,Jul,Jul,Aug,Aug,Aug,Aug,Sep,Sep,Sep,Sep,Oct,Oct,Oct,Oct,Nov,Nov,Nov,Nov,Dec,Dec,Dec,Dec
,,,,,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Air Temperature Average (degF),Soil Temperature Observed -2in (degF) Start of Month Values
321,Bear Creek,Elko,8040,1994,6.0,3.5,23,,9.1,7.0,20,,13.9,11.5,30,,15.1,12.0,34,,21.2,12.0,42,,25.9,0.0,52,,26.2,0.0,59,,26.7,0.0,59,,27.5,0.0,49,,0.0,0.0,35,,2.1,0.2,19,,7.2,5.6,22,
321,Bear Creek,Elko,8040,1995,10.5,9.0,24,,15.2,14.0,29,,17.2,16.0,25,,22.3,20.0,30,,27.7,22.3,37,,34.3,14.6,43,,39.6,0.0,,,40.8,0.0,,,41.1,0.0,48,,0.0,0.0,37,,1.6,0.0,33,,5.2,2.2,23,
321,Bear Creek,Elko,8040,1996,11.0,7.9,22,,18.7,16.4,24,,22.4,20.9,28,,27.7,26.2,32,,31.4,23.3,38,,36.4,5.7,50,,37.3,0.0,58,,38.2,0.0,57,,38.5,0.0,45,,0.0,0.0,36,,2.1,2.2,28,,5.9,4.9,22,
321,Bear Creek,Elko,8040,1997,16.2,15.5,20,,23.1,22.4,19,,24.8,24.1,30,,27.5,26.0,29,,33.4,25.7,43,,35.9,0.4,47,,41.9,0.0,54,,43.2,0.0,57,,43.9,0.0,49,,0.0,0.0,35,,3.0,0.6,28,,5.3,2.1,19,
321,Bear Creek,Elko,8040,1998,7.7,4.5,24,,11.8,8.5,21,,16.2,12.9,26,,20.4,16.2,30,,23.4,15.2,37,,32.0,10.7,43,,35.3,0.0,59,,36.2,0.0,59,,36.2,0.0,49,,0.0,0.0,34,,1.7,0.5,27,,5.9,4.6,19,
321,Bear Creek,Elko,8040,1999,8.2,6.8,23,,13.4,11.9,23,,17.5,15.8,27,,20.2,18.8,28,,25.0,19.7,36,,30.4,6.9,48,,31.8,0.0,57,,32.3,0.0,56,,33.3,0.0,46,,0.0,0.0,40,,1.2,0.0,35,,3.3,2.2,21,
321,Bear Creek,Elko,8040,2000,5.8,4.8,22,,10.4,9.3,27,,14.7,14.0,25,,18.0,17.1,37,,20.9,8.3,42,,24.3,0.0,52,,24.7,0.0,58,,25.2,0.0,59,,26.3,0.0,47,,0.0,0.0,36,,4.6,1.9,20,,6.8,4.2,23,
321,Bear Creek,Elko,8040,2001,9.1,6.7,20,,11.9,9.7,19,,13.9,11.8,29,,17.6,13.5,31,,21.4,11.1,45,,22.5,0.0,51,,24.6,0.0,56,,26.4,0.0,60,,26.5,0.0,51,,0.0,0.0,41,,1.6,0.3,32,,6.2,4.6,23,
321,Bear Creek,Elko,8040,2002,12.8,11.2,21,,15.8,14.2,25,,17.3,15.7,26,,20.5,18.2,35,,25.1,15.7,41,,27.1,0.0,51,,29.2,0.0,61,,29.5,0.0,54,,29.7,0.0,48,,0.0,0.0,34,,1.2,0.9,30,,4.4,4.1,26,
321,Bear Creek,Elko,8040,2003,9.3,9.0,32,,10.7,10.2,21,,12.7,12.2,31,,16.6,16.1,33,,23.6,19.3,43,,26.3,0.0,51,,26.5,0.0,62,,27.1,0.0,58,,29.0,0.0,49,,0.0,0.0,44,,0.4,0.2,25,,4.2,4.0,26,
321,Bear Creek,Elko,8040,2004,10.3,10.0,23,,14.0,13.8,23,,18.8,18.6,35,,20.8,14.0,36,,25.5,8.7,41,,30.8,0.0,50,,31.2,0.0,57,,32.8,0.0,54,,34.9,0.0,47,,0.0,0.0,37,,3.4,2.4,28,,6.2,4.9,27,
321,Bear Creek,Elko,8040,2005,10.4,9.0,27,,13.9,12.3,25,,15.4,13.7,29,,20.2,18.4,35,,27.0,22.5,42,,34.9,3.0,46,,37.5,0.0,59,,39.3,0.0,56,,40.0,0.0,47,,0.0,0.0,39,,1.3,0.0,31,,6.2,4.7,24,
321,Bear Creek,Elko,8040,2006,13.2,12.3,25,,20.1,19.5,22,,23.1,22.6,26,,28.8,29.6,36,,33.7,26.1,44,,37.0,0.4,53,,38.9,0.0,61,,39.7,0.0,56,,40.0,0.0,47,,0.0,0.0,37,,2.6,0.2,30,,7.0,4.0,24,
321,Bear Creek,Elko,8040,2007,10.5,7.0,19,,11.8,8.2,27,,16.7,13.6,34,,20.9,14.2,36,,26.3,11.8,44,,27.9,0.0,52,,29.7,0.0,63,,31.2,0.0,58,,31.5,0.0,48,,0.0,0.0,37,,4.7,0.0,31,,6.1,0.6,20,
321,Bear Creek,Elko,8040,2008,10.2,4.8,19,,16.2,11.0,24,,20.7,15.5,26,,25.1,19.8,30,,29.5,19.4,40,,32.3,1.5,49,,33.7,0.0,59,,34.9,0.0,58,,35.4,0.0,49,,0.0,0.0,40,,1.5,0.0,35,,6.1,2.6,22,
321,Bear Creek,Elko,8040,2009,13.1,9.9,26,,17.2,14.2,25,,20.0,16.8,27,,25.0,20.8,33,,30.3,20.8,44,,32.7,0.0,47,,39.9,0.0,58,,40.4,0.0,54,,41.7,0.0,52,,0.0,0.3,35,,3.5,0.7,31,,4.4,0.8,19,
321,Bear Creek,Elko,8040,2010,6.9,3.3,27,,10.1,6.5,25,,11.9,8.4,29,,16.5,12.8,32,,22.8,14.4,35,,29.7,13.0,48,,31.9,0.0,56,,32.9,0.0,55,,33.1,0.0,50,,0.0,0.0,41,,4.1,1.1,27,,10.4,6.0,27,
321,Bear Creek,Elko,8040,2011,18.0,13.2,25,,21.2,15.1,22,,24.8,18.8,29,,31.8,25.9,30,,39.8,32.7,38,,46.3,28.9,46,,48.8,0.0,57,,49.2,0.0,58,,49.3,0.0,52,51,0.0,0.0,40,37,3.7,0.0,28,31,5.7,1.8,23,31
321,Bear Creek,Elko,8040,2012,6.6,2.7,26,30,11.7,7.8,23,31,15.5,11.6,32,31,19.8,13.9,38,31,22.1,2.0,42,40,23.8,0.0,51,52,25.0,0.0,61,60,25.7,0.0,60,61,26.6,0.0,51,52,0.0,0.0,40,38,1.3,0.0,34,33,3.9,2.5,22,32
321,Bear Creek,Elko,8040,2013,10.0,6.5,22,32,15.1,11.6,22,32,19.3,15.8,31,32,21.7,17.7,33,32,25.9,14.7,41,36,27.6,0.0,53,54,28.1,0.0,62,64,28.6,0.0,60,63,28.8,0.0,49,50,0.0,0.0,36,35,1.3,0.6,32,32,3.0,1.2,21,31
321,Bear Creek,Elko,8040,2014,5.8,4.1,26,31,7.5,5.7,28,31,11.7,9.5,31,31,16.9,14.6,35,32,20.0,9.5,44,36,23.7,0.0,50,54,24.8,0.0,61,64,26.0,0.0,54,54,31.2,0.0,51,51,0.0,0.0,43,39,1.0,0.0,30,32,4.7,2.9,26,32
321,Bear Creek,Elko,8040,2015,10.8,9.4,29,32,13.0,11.4,32,32,14.7,12.9,35,32,16.4,9.0,34,32,19.6,0.9,42,40,26.4,0.0,56,57,29.3,0.0,54,57,31.1,0.0,57,59,33.0,0.0,51,51,0.0,0.0,44,41,2.7,0.0,25,33,8.9,5.8,22,32
321,Bear Creek,Elko,8040,2016,17.1,13.6,25,32,20.8,16.6,30,32,22.9,18.8,32,32,29.3,24.9,38,32,37.4,19.6,41,32,40.6,1.7,54,54,40.8,0.0,58,63,41.1,0.0,57,63,41.1,0.0,47,47,0.0,0.0,41,38,4.9,0.0,35,33,6.7,1.4,21,32
321,Bear Creek,Elko,8040,2017,12.5,7.2,21,32,20.7,14.9,28,32,26.8,21.1,34,32,31.2,23.0,34,32,37.3,25.3,42,32,40.5,4.8,51,49,42.2,0.0,61,63,43.5,0.0,58,60,44.2,0.0,47,48,0.0,0.0,37,35,1.3,0.0,34,33,6.6,2.9,27,32
321,Bear Creek,Elko,8040,2018,8.4,4.5,30,32,11.2,7.2,22,32,13.4,9.3,28,32,19.0,13.6,36,32,21.9,6.8,44,40,26.8,0.0,51,54,27.9,0.0,61,65,28.0,0.0,57,61,28.8,0.0,50,53,0.0,0.0,38,37,3.2,0.3,29,30,5.3,2.9,23,31
321,Bear Creek,Elko,8040,2019,8.3,6.2,26,31,11.4,9.4,21,31,19.5,18.2,27,31,22.1,20.7,37,31,28.7,19.8,40,31,36.7,12.0,48,42,37.0,0.0,58,,37.6,0.0,58,,38.0,0.0,46,,0.0,0.0,32,,1.0,0.2,32,30,2.0,1.0,25,31
321,Bear Creek,Elko,8040,2020,6.2,5.3,26,31,12.0,11.4,23,31,15.7,15.2,30,31,19.3,18.6,35,32,21.8,9.0,43,35,25.3,0.0,48,48,30.3,0.0,57,60,30.8,0.0,60,64,30.8,0.0,53,55,0.0,0.0,41,40,1.0,0.0,30,33,3.9,2.5,25,31
321,Bear Creek,Elko,8040,2021,6.3,5.0,25,31,9.8,8.3,24,32,15.9,15.0,28,32,18.9,18.3,35,32,20.2,7.0,41,38,22.0,0.0,57,59,22.3,0.0,63,66,24.0,0.0,56,60,24.5,0.0,50,52,0.0,0.0,39,37,5.6,0.0,35,33,7.1,0.3,25,31
334,Berry Creek,White Pine,9377,1994,4.5,3.1,21,,5.6,4.5,18,,9.0,9.3,30,,11.4,11.7,31,,16.1,13.8,41,,18.3,0.0,54,,18.9,0.0,59,,18.9,0.0,57,,21.0,0.0,48,,0.0,0.0,33,,2.1,0.0,19,,5.3,4.0,21,
334,Berry Creek,White Pine,9377,1995,6.8,5.9,,,11.7,12.8,27,,13.6,15.5,24,,18.6,22.1,29,,22.7,26.8,35,,28.5,26.3,42,,33.4,1.7,54,,35.2,0.0,56,,36.3,0.0,48,,0.0,0.0,37,,0.1,0.0,31,,0.3,0.3,21,
334,Berry Creek,White Pine,9377,1996,2.0,3.1,21,,4.8,7.2,24,,8.8,11.3,26,,12.9,15.7,32,,16.0,15.5,40,,19.1,0.2,53,,19.4,0.0,59,,20.0,0.0,57,,20.1,0.0,45,,0.0,0.0,35,,1.8,3.0,26,,4.5,6.8,22,
334,Berry Creek,White Pine,9377,1997,7.1,11.8,20,,10.9,17.7,18,,13.1,20.8,29,,14.5,20.7,27,,18.3,21.4,43,,19.3,0.0,48,,22.7,0.0,54,,24.2,0.0,56,,25.1,0.0,47,,0.0,0.0,36,,1.8,0.0,27,,4.6,2.7,18,
334,Berry Creek,White Pine,9377,1998,6.6,5.4,21,,9.9,10.2,19,,16.0,17.9,24,,20.3,21.7,28,,24.2,24.8,36,,27.2,21.6,43,,31.6,0.6,56,,35.0,0.0,57,,35.9,0.0,46,,0.0,0.0,33,,2.5,1.6,26,,4.3,4.3,20,
334,Berry Creek,White Pine,9377,1999,6.0,6.0,22,,8.8,9.8,22,,10.9,13.2,27,,12.6,14.8,26,,17.9,19.7,37,,20.2,7.1,49,,23.6,0.0,56,,25.2,0.0,54,,28.4,0.0,45,,0.0,0.0,39,,0.6,0.0,32,,1.3,0.6,20,
334,Berry Creek,White Pine,9377,2000,2.5,1.8,22,,4.7,4.7,24,,10.0,10.8,25,,12.9,13.4,36,,15.3,10.9,43,,19.0,0.0,52,,19.3,0.0,59,,19.3,0.0,57,,20.8,0.0,47,,0.0,0.0,35,,3.4,1.8,19,,4.7,3.1,22,
